indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25642.8,-133.2,-0.52,25755.9,25757.65,25579.5,25776.0,26373.2,21743.65,22.21,3.49,1.27,32,18,10.34,-2.1
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,68970.4,-328.15,-0.47,69078.5,69206.55,68524.65,69298.55,70833.65,56192.45,19.97,3.58,1.38,30,20,10.64,-1.59
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,60063.65,-174.5,-0.29,60315.35,60328.3,59881.05,60238.15,61764.85,47702.9,16.24,2.14,0.98,8,6,22.41,0.14
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,27689.35,-113.2,-0.41,27812.6,27814.85,27608.6,27802.55,28275.2,22819.9,17.87,2.92,0.83,14,6,20.19,-0.35
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13700.5,-21.35,-0.16,13713.75,13725.9,13582.35,13721.85,14118.4,5520.25,29.52,4.52,0.82,18,7,16.06,-1.87
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,26248.3,-134.4,-0.51,26351.75,26354.05,26182.8,26382.7,26975.15,22177.35,21.81,3.5,1.29,62,38,10.41,-2.02
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14294.75,-67.2,-0.47,14347.2,14347.7,14252.7,14361.95,14700.95,11941.45,23.25,3.63,1.2,130,70,10.78,-2.15
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,23411.7,-123.25,-0.52,23509.75,23509.95,23337.35,23534.95,24144.2,19519.85,23.72,3.64,1.15,352,148,9.96,-2.34
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,17084.95,-38.45,-0.22,17120.05,17120.5,16946.05,17123.4,17572.45,13269.65,33.47,4.55,0.8,35,15,15.48,-2.18
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,59517.1,-166.5,-0.28,59662.5,59672.3,59069.65,59683.6,61548.85,46865.7,32.96,4.33,0.8,68,32,12.63,-2.74
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,16983.9,-221.2,-1.29,17151.35,17151.4,16896.8,17205.1,19224.95,14084.3,30.29,3.67,0.76,77,23,3.54,-3.52
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,12.17,-0.08,-0.69,12.25,12.55,10.94,12.25,23.19,8.72,,,,,,-14.65,29.63
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21931.5,-70.5,-0.32,21997.45,21997.45,21777.6,22002.0,22650.05,17269.5,32.61,4.44,0.82,104,46,12.37,-2.56
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8285.1,-126.0,-1.5,8380.55,8380.55,8235.3,8411.1,9282.7,6776.05,30.11,3.67,0.8,38,12,5.4,-2.84
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,15919.15,-165.0,-1.03,16051.75,16053.65,15846.3,16084.15,18077.35,13314.7,26.36,3.4,0.74,186,64,2.59,-4.24
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,19693.5,-110.55,-0.56,19787.9,19787.9,19577.75,19804.05,20668.15,15832.85,30.21,4.02,0.79,290,110,8.88,-3.13
