indexType,indexName,indexSymbol,closePrice,priceChange,percentChange,openPrice,dayHigh,dayLow,previousClose,yearHigh,yearLow,priceEarningsRatio,priceBookRatio,dividendYield,declines,advances,1Y%Change,1M%Change
BROAD MARKET INDICES,NIFTY 50,NIFTY 50,25232.5,-353.0,-0.0138,25580.3,25585.0,25171.35,25585.5,26373.2,21743.65,21.91,3.43,0.0131,47,3,0.1027,-0.0147
BROAD MARKET INDICES,NIFTY NEXT 50,NIFTY NEXT 50,67110.9,-1583.0,-0.023,68642.85,68748.75,66923.15,68693.9,70833.65,56192.45,19.52,3.49,0.0146,48,2,0.055999999999999994,0.0046
SECTORAL INDICES,NIFTY BANK,NIFTY BANK,59404.2,-487.15,-0.008100000000000001,59851.4,59993.5,59283.95,59891.35,60437.35,47702.9,16.23,2.18,0.009899999999999999,13,1,0.23379999999999998,0.0139
SECTORAL INDICES,NIFTY FINANCIAL SERVICES,NIFTY FIN SERVICE,27200.6,-318.35,-0.0116,27525.55,27526.35,27136.5,27518.95,28065.5,22320.85,17.54,2.87,0.0086,19,1,0.21719999999999998,0.0051
STRATEGY INDICES,NIFTY MIDCAP SELECT,NIFTY MID SELECT,13307.9,-347.3,-0.0254,13656.65,13658.5,13261.45,13655.2,14118.4,5520.25,28.09,4.39,0.0084,24,1,0.11470000000000001,-0.0149
BROAD MARKET INDICES,NIFTY 100,NIFTY 100,25780.95,-401.0,-0.015300000000000001,26174.3,26182.3,25719.25,26181.95,26975.15,22177.35,21.48,3.44,0.013300000000000001,95,5,0.0943,-0.0116
BROAD MARKET INDICES,NIFTY 200,NIFTY 200,14023.95,-247.0,-0.0173,14266.6,14268.35,13988.5,14270.95,14700.95,11941.45,22.86,3.56,0.0124,192,8,0.0941,-0.011399999999999999
BROAD MARKET INDICES,NIFTY 500,NIFTY 500,22946.65,-427.1,-0.0183,23365.65,23368.15,22888.65,23373.75,24144.2,19519.85,23.43,3.57,0.0118,469,29,0.0781,-0.0128
BROAD MARKET INDICES,NIFTY MIDCAP 50,NIFTY MIDCAP 50,16635.8,-467.2,-0.0273,17097.25,17097.3,16582.6,17103.0,17572.45,13269.65,32.36,4.43,0.008199999999999999,49,1,0.1297,-0.009399999999999999
BROAD MARKET INDICES,NIFTY MIDCAP 100,NIFTY MIDCAP 100,58085.35,-1562.3,-0.0262,59626.4,59634.6,57898.65,59647.65,61548.85,46865.7,32.21,4.22,0.008199999999999999,97,3,0.09230000000000001,-0.011000000000000001
BROAD MARKET INDICES,NIFTY SMALLCAP 100,NIFTY SMLCAP 100,16701.05,-489.65,-0.0285,17185.8,17186.2,16660.55,17190.7,19224.95,14084.3,30.31,3.61,0.0075,96,4,-0.027200000000000002,-0.0115
BROAD MARKET INDICES,INDIA VIX,INDIA VIX,12.73,0.9,0.07629999999999999,11.83,12.9,11.0,11.83,23.19,8.72,,,,,,-0.2488,0.2426
BROAD MARKET INDICES,NIFTY MIDCAP 150,NIFTY MIDCAP 150,21334.6,-543.85,-0.024900000000000002,21867.55,21869.65,21265.0,21878.45,22650.05,17269.5,31.87,4.31,0.0083,138,11,0.0833,-0.0121
BROAD MARKET INDICES,NIFTY SMALLCAP 50,NIFTY SMLCAP 50,8192.45,-233.9,-0.0278,8430.6,8430.9,8169.85,8426.35,9282.7,6776.05,30.16,3.63,0.0077,47,3,0.0005,-0.0111
BROAD MARKET INDICES,NIFTY SMALLCAP 250,NIFTY SMLCAP 250,15595.2,-428.85,-0.0268,16017.0,16018.2,15557.55,16024.05,18077.35,13314.7,27.32,3.33,0.0075,236,13,-0.0405,-0.023399999999999997
BROAD MARKET INDICES,NIFTY MIDSMALLCAP 400,NIFTY MIDSML 400,19202.9,-502.5,-0.0255,19696.0,19696.7,19147.2,19705.4,20668.15,15832.85,30.17,3.92,0.008100000000000001,374,24,0.0383,-0.0159
BROAD MARKET INDICES,NIFTY500 MULTICAP 50:25:25,NIFTY500 MULTICAP,15761.05,-330.45,-0.020499999999999997,16085.35,16086.55,15720.8,16091.5,17112.15,5531.55,24.8,3.59,0.010700000000000001,469,29,0.0588,-0.0147
BROAD MARKET INDICES,NIFTY LARGEMIDCAP 250,NIFTY LARGEMID250,16211.65,-332.35,-0.020099999999999996,16537.45,16538.75,16165.95,16544.0,17095.2,5635.2,25.64,3.82,0.0108,233,16,0.0898,-0.0118
BROAD MARKET INDICES,NIFTY TOTAL MARKET,NIFTY TOTAL MKT,12856.4,-243.3,-0.018600000000000002,13095.25,13096.6,12823.8,13099.7,13842.6,6252.1,23.48,3.52,0.011699999999999999,692,55,0.071,-0.0139
BROAD MARKET INDICES,NIFTY MICROCAP 250,NIFTY MICROCAP250,20823.25,-571.05,-0.026699999999999998,21389.8,21394.0,20763.4,21394.3,26476.9,5802.95,24.88,2.66,0.0085,223,26,-0.0993,-0.0425
BROAD MARKET INDICES,NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED,NIFTY500 LMS EQL,17233.1,-392.75,-0.0223,17618.65,17619.45,17188.05,17625.85,18838.1,14014.4,26.17,3.65,0.0098,469,29,0.0463,-0.0158
BROAD MARKET INDICES,NIFTY INDIA FPI 150,NIFTY FPI 150,1561.95,-30.15,-0.0189,1591.55,1591.8,1557.75,1592.1,1641.4,1346.5,23.99,3.79,0.0125,146,4,0.0,-0.0108
SECTORAL INDICES,NIFTY AUTO,NIFTY AUTO,26948.1,-684.35,-0.0248,27635.7,27751.15,26850.05,27632.45,29179.1,19316.65,29.27,4.62,0.011699999999999999,15,0,0.21239999999999998,-0.0009
SECTORAL INDICES,NIFTY FINANCIAL SERVICES 25/50,NIFTY FINSRV25 50,29733.9,-365.15,-0.0121,30089.8,30091.2,29660.8,30099.05,0.0,0.0,17.46,3,0.009399999999999999,19,1,0.2248,0.0060999999999999995
